manuscript,line,section,token,linked_evidence_ids,resolution_requirement,context
manuscript/nature_article_draft.md,7,Summary,RESULT_REQUIRED,ecosystem_validation;figure_package,Replace only after FLUXNET or other independent ecosystem-function validation artifacts support the claim.,"Compound heat and water stress increasingly disrupt terrestrial ecosystems, yet the climate precursors that separate recoverable vegetation anomalies from persistent vegetation stress remain difficult to identify across regions and biomes. Here we propose an interpretable artificial intelligence framework that links lagged atmospheric and land-surface conditions from ERA5/ERA5-Land to quality-filtered MODIS vegetation-index anomalies, with independent evaluation against FLUXNET ecosystem flux observations. The analysis is designed to discover whether recurrent combinations of temperature, soil moisture, precipitation deficit and vapour pressure deficit precede extreme negative vegetation anomalies at global scale. RESULT_REQUIRED. Temporal holdout, leave-region-out validation, baseline climate indices and site-level flux checks will be used to determine whether the discovered precursors are predictive, geographically transferable and ecologically meaningful. RESULT_REQUIRED. These results would provide an evidence-based route for early warning of vegetation stress and for mechanistic interpretation of compound climate extremes. RESULT_REQUIRED."
manuscript/nature_article_draft.md,7,Summary,RESULT_REQUIRED,ecosystem_validation;figure_package,Replace only after FLUXNET or other independent ecosystem-function validation artifacts support the claim.,"Compound heat and water stress increasingly disrupt terrestrial ecosystems, yet the climate precursors that separate recoverable vegetation anomalies from persistent vegetation stress remain difficult to identify across regions and biomes. Here we propose an interpretable artificial intelligence framework that links lagged atmospheric and land-surface conditions from ERA5/ERA5-Land to quality-filtered MODIS vegetation-index anomalies, with independent evaluation against FLUXNET ecosystem flux observations. The analysis is designed to discover whether recurrent combinations of temperature, soil moisture, precipitation deficit and vapour pressure deficit precede extreme negative vegetation anomalies at global scale. RESULT_REQUIRED. Temporal holdout, leave-region-out validation, baseline climate indices and site-level flux checks will be used to determine whether the discovered precursors are predictive, geographically transferable and ecologically meaningful. RESULT_REQUIRED. These results would provide an evidence-based route for early warning of vegetation stress and for mechanistic interpretation of compound climate extremes. RESULT_REQUIRED."
manuscript/nature_article_draft.md,7,Summary,RESULT_REQUIRED,ecosystem_validation;figure_package,Replace only after FLUXNET or other independent ecosystem-function validation artifacts support the claim.,"Compound heat and water stress increasingly disrupt terrestrial ecosystems, yet the climate precursors that separate recoverable vegetation anomalies from persistent vegetation stress remain difficult to identify across regions and biomes. Here we propose an interpretable artificial intelligence framework that links lagged atmospheric and land-surface conditions from ERA5/ERA5-Land to quality-filtered MODIS vegetation-index anomalies, with independent evaluation against FLUXNET ecosystem flux observations. The analysis is designed to discover whether recurrent combinations of temperature, soil moisture, precipitation deficit and vapour pressure deficit precede extreme negative vegetation anomalies at global scale. RESULT_REQUIRED. Temporal holdout, leave-region-out validation, baseline climate indices and site-level flux checks will be used to determine whether the discovered precursors are predictive, geographically transferable and ecologically meaningful. RESULT_REQUIRED. These results would provide an evidence-based route for early warning of vegetation stress and for mechanistic interpretation of compound climate extremes. RESULT_REQUIRED."
manuscript/nature_article_draft.md,17,Introduction,RESULT_REQUIRED,precursor_discovery;temporal_holdout_validation;spatial_holdout_validation;robustness_falsification;figure_package,"Replace only after candidate precursor states survive interpretability, temporal, spatial and robustness validation.","This study asks whether interpretable spatiotemporal AI can discover climate precursor states that predict vegetation stress before the stress is visible in satellite vegetation anomalies. The analysis will define vegetation-stress events from quality-filtered MODIS EVI and NDVI anomalies, construct lagged climate features from ERA5/ERA5-Land, learn precursor patterns with interpretable models, and test those patterns against temporal, spatial and independent ecosystem-flux validation. The central claim will be promoted only if the validated analysis shows that RESULT_REQUIRED."
manuscript/nature_article_draft.md,19,Introduction,RESULT_REQUIRED,ecosystem_validation;figure_package,Replace only after FLUXNET or other independent ecosystem-function validation artifacts support the claim.,"The study is intended to make three contributions. First, it will provide a reproducible global map of vegetation-stress events derived from satellite anomaly records. Second, it will identify and test multi-variable climate precursors of those events, including compound heat-drought and atmospheric-demand states. Third, it will evaluate whether the discovered precursors correspond to independent reductions in ecosystem function at FLUXNET sites. RESULT_REQUIRED."
manuscript/nature_article_draft.md,27,Global vegetation-stress event catalogue,RESULT_REQUIRED,stress_event_catalogue;minimum_publishable_evidence_slice;figure_package,"Replace only after the stress-event catalogue, QC report and pilot/full Fig. 1 artifacts exist.","RESULT_REQUIRED: report the number of events, global area affected, biome-level distribution, temporal trends and uncertainty introduced by quality filtering. Figure 1 will show the data-processing workflow and event-catalogue coverage."
manuscript/nature_article_draft.md,33,AI-discovered climate precursor states,RESULT_REQUIRED,precursor_discovery;temporal_holdout_validation;spatial_holdout_validation;robustness_falsification;figure_package,"Replace only after candidate precursor states survive interpretability, temporal, spatial and robustness validation.","RESULT_REQUIRED: report the precursor states discovered by the model, their lead times, regional consistency and feature-attribution evidence. Figure 2 will show precursor maps and lag-response relationships, but only for patterns that survive statistical and spatial validation."
manuscript/nature_article_draft.md,39,Predictive validation against baseline indices,RESULT_REQUIRED,baseline_evaluation;predictive_validation;robustness_falsification;figure_package,"Replace only after validation metrics, uncertainty intervals and baseline comparisons support the claimed performance.","RESULT_REQUIRED: report event-level precision, recall, area under the precision-recall curve, calibration, uncertainty intervals and the magnitude of improvement over baselines. Figure 3 will compare the AI framework with conventional indices and simpler models."
manuscript/nature_article_draft.md,45,Ecosystem-function validation,RESULT_REQUIRED,ecosystem_validation;figure_package,Replace only after FLUXNET or other independent ecosystem-function validation artifacts support the claim.,"RESULT_REQUIRED: report whether predicted precursor states are followed by independent reductions in ecosystem fluxes, and whether these reductions differ across plant functional types or climate zones. Figure 4 will connect the discovered precursor states to ecosystem-function evidence."
manuscript/nature_article_draft.md,49,Discussion,RESULT_REQUIRED,ecosystem_validation;figure_package,Replace only after FLUXNET or other independent ecosystem-function validation artifacts support the claim.,"The study will interpret validated precursor states as candidate mechanisms only when three tests agree: predictive skill in held-out years, transfer across held-out regions, and independent evidence from ecosystem fluxes. If validated, the results would show that RESULT_REQUIRED. Such a finding would strengthen early warning systems by shifting attention from single-variable drought or heat thresholds to compound precursor states that emerge before visible canopy stress."
